Myocardial infarction	Hypertension	Pancreatitis	Hyperlipidemia	Tardive dyskinesia	Sepsis	Cardiac arrest	Cerebral infarction	Hemorrhage	Delirium	Pulmonary edema	Interstitial lung disease	Deep vein thrombosis	Thrombocytopenia	Peripheral neuropathy	Hemolytic anemia	Stevens-Johnson Syndrome	Agranulocytosis	Serotonin syndrome	Neuroleptic malignant syndrome	Visual acuity reduced	Gastric ulcer	Ventricular tachycardia	Edema	Generalized tonic-clonic seizure	Anaphylactic reaction	Proteinuria	Myopathy	Pneumonia	Sleep apnea syndrome	Sleep disorder	Hepatic necrosis	Completed suicide	QT Prolongation
Lidocaine	Dipyridamole	Gabapentin	Tizanidine	Venlafaxine	Flurbiprofen	Methadone	Benzoic Acid	Achillea millefolium	Phenytoin	Sotalol	Ezetimibe	Quetiapine	Hydrochlorothiazide	Articaine	Cefotetan	Cefotetan Disodium	Sulfacetamide	Eletriptan	Memantine		Menthol	Nicardipine	Trovafloxacin	Topiramate	Embryo	Fludarabine	Allopurinol	Carbamazepine	Tapentadol	Levodopa	Nortriptyline	Lindane	Mirtazapine
Chlorpheniramine	Cortisol	Prednisolone	Zolpidem	Thiothixene	Dexamethasone	Potassium Cation	Phenylacetic Acid	Urtica dioica	Propofol	Bisoprolol	Simvastatin	Fludarabine	Ceftizoxime	Epinephrine	Cefotetan Disodium	Tamoxifen	Diethylpropion	Linezolid	Dextromethorphan		Chlorpheniramine	Clarithromycin	Calcium Chloride	Diazepam	Nadide	Celecoxib	Lovastatin	Busulfan	Triazolam	Leuprolide	Citalopram	Topiramate	Clozapine
Phenylephrine	Follitropin	Lisinopril	Zolpidem Tartrate	Paliperidone	Ascorbic Acid	Adenosine	Cefpodoxime	Centella asiatica	Galantamine	Albuterol	Tacrolimus	Raloxifene	Ketorolac Tromethamine	Amlodipine	Furosemide	Amphetamine	Ranitidine	Mirtazapine	Fluoxetine		Phenylephrine	Erythromycin	Magnesium Chloride	Memantine	Placenta	Acetaminophen	Methylprednisolone	Enalaprilat	Codeine	Clonazepam	Citalopram Hydrobromide	Sumatriptan	Sotalol
Ferric Oxide Red	Sodium Chloride	Cortisol	Dexlansoprazole	Asenapine	Fanolesomab	Dexamethasone	Eptifibatide	Echinacea purpurea	Lamotrigine	Gabapentin	Topotecan	Olanzapine	Hydroflumethiazide	Fluvoxamine	Cefadroxil	Dextroamphetamine	Isotretinoin	Choline	Perphenazine		Dextromethorphan	Nefazodone	Potassium Chloride	Naloxone	Sanguinaria canadensis Root	Oxycodone	Amlodipine	Leuprolide	Somatropin	Pravastatin	Simvastatin	Phenytoin	Moxifloxacin
Zinc Oxide	Methylphenidate	Magnesium Hydroxide	Memantine	Amoxapine	Foscarnet	Trazodone	Iohexol	Flower	Bupropion	Lisinopril	Rasagiline	Ziprasidone	Trimetrexate	Leuprolide	Piperacillin	Cefadroxil	Codeine	Rizatriptan	Duloxetine		Doxylamine	Nizatidine	Sodium Acetate	Fluphenazine	Solanum dulcamara	Cefaclor	Atorvastatin	Enalapril	Pramipexole	Fosinopril	Sevoflurane	Risperidone	Methadone
Acetaminophen	Tramadol	Omeprazole	Levonorgestrel	Zolmitriptan	Epirubicin	Foscarnet	Amoxicillin Anhydrous	Krameria lappacea Root	Acetaminophen	Cortisol	Cilostazol	Progesterone	Morphine	Lidocaine	Donepezil	Piperacillin	Azacitidine	Naproxen	Fluphenazine		Anhydrous Citric Acid	Ropinirole	Sodium Chloride	Paroxetine	Toxicodendron pubescens Leaf	Piroxicam	Fluoxetine	Insulin Human	Venlafaxine	Omeprazole	Benazepril	Zonisamide	Azithromycin
Ammonia	Imipramine	Sodium Bicarbonate	Rivastigmine	Escitalopram	Lidocaine	Bupivacaine	Drospirenone	Acetaminophen	Oxycodone	Valdecoxib	Rabeprazole	Drospirenone	Methylphenidate	Dexamethasone	Diltiazem	Diltiazem	Meloxicam	Zolmitriptan	Paroxetine		Bicarbonate Ion	Sumatriptan	Sodium Lactate	Mirtazapine	Umbilical Cord	Oxaprozin	Ezetimibe	Interferon Alfacon-1	Dextromethorphan	Ropinirole	Hydrocodone	Cetirizine	Atomoxetine
Aspirin	Calcitriol	Valdecoxib	Tadalafil	Escitalopram Oxalate	Amphotericin B	Citalopram	Estradiol	Aspirin	Amitriptyline	Aprotinin	Methotrexate	Saquinavir	Imipramine	Aspirin	Naproxen	Naproxen	Bisoprolol	Desvenlafaxine	Metoclopramide		Calcium Cation	Ropivacaine	Lomefloxacin	Haloperidol	Cetirizine	Ofloxacin	Nelfinavir	Tinzaparin	Oxymorphone	Fexofenadine	Enalaprilat	Valproic Acid	Lopinavir
Naproxen	Sotalol	Estradiol	Fluoxetine	Selegiline	Interferon Alfacon-1	Citalopram Hydrobromide	Hydrochlorothiazide	Caffeine	Zanamivir	Cyanocobalamin	Sulfasalazine	"Synthetic Conjugated Estrogens, B"	Ranitidine	Butalbital	Minocycline	Minocycline	Labetalol	Hyoscyamine	Haloperidol		Salicylamide	Digoxin	Glucose	Prochlorperazine	Insulin Human	Perindopril	Emtricitabine	Tinzaparin Sodium	Acetaminophen	Sumatriptan	Enalapril	Galantamine	Ritonavir
Camphor	Meloxicam	Tamoxifen	Nelfinavir	Clozapine	Porfimer	Propranolol	Moexiprilat	Benzocaine	Escitalopram	Nalmefene	Sirolimus	Pramipexole	Isotretinoin	Caffeine	Flurbiprofen	Fosphenytoin	Brompheniramine	Ion	Quetiapine		Fluoride Ion	Azithromycin	Sodium Gluconate	Aripiprazole	Fexofenadine	Fluoxetine	Tenofovir	Clonazepam	Phenylephrine	Nifedipine	Mexiletine	Lorazepam	Oxaliplatin
